File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Community College Magnet Academy,12,8,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,RPS,Capital Prep -  Lower School Program,PIO,100,55,45,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,PK4,96,59,37,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,K,121,76,45,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,1,80,38,42,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,2,69,39,30,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,3,74,32,42,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,4,58,29,29,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep -  Lower School Program,5,84,35,49,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep - Upper School Program,6,76,37,39,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,RPS,Capital Prep - Upper School Program,7,40,24,16,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep - Upper School Program,8,30,16,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep - Upper School Program,9,73,38,35,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep - Upper School Program,10,28,14,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,RPS,Capital Prep - Upper School Program,11,13,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Capital Prep - Upper School Program,12,8,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Classical Magnet School,6,46,22,24,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Classical Magnet School,7,29,9,20,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Classical Magnet School,8,22,12,10,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Classical Magnet School,9,53,39,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,RPS,Classical Magnet School,10,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Classical Magnet School,11,13,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Classical Magnet School,12,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,PK4,101,40,61,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,K,49,23,26,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,1,16,7,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,2,38,20,18,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,3,39,21,18,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,4,43,31,12,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,5,43,22,21,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,6,28,19,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,7,16,9,7,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Environmental Sciences @ Mary M. Hooker,8,7,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,RPS,Great Path Academy,9,134,53,81,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Great Path Academy,10,39,15,24,,
