file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
apps,9,179.0,118,61.0,,,,HPS,HMTCA - (Grades 6-12)
apps,10,39.0,24,15.0,,,,HPS,HMTCA - (Grades 6-12)
apps,11,35.0,26,9.0,,,,HPS,HMTCA - (Grades 6-12)
apps,12,9.0,,,,,,HPS,HMTCA - (Grades 6-12)
apps,6,25.0,7,18.0,,,,HPS,HMTCA - (Grades 6-8)
apps,7,10.0,,,,,,HPS,HMTCA - (Grades 6-8)
apps,8,,,,,,,HPS,HMTCA - (Grades 6-8)
apps,PK3,144.0,65,79.0,,,,HPS,Hartford PreKindergarten Magnet
apps,PK4,76.0,35,41.0,,,,HPS,Hartford PreKindergarten Magnet
apps,PK3,63.0,27,36.0,,,,HPS,Montessori Magnet at Moylan
apps,PK4,28.0,17,11.0,,,,HPS,Montessori Magnet at Moylan
apps,K,40.0,23,17.0,,,,HPS,Montessori Magnet at Moylan
apps,1,19.0,6,13.0,,,,HPS,Montessori Magnet at Moylan
apps,2,18.0,10,8.0,,,,HPS,Montessori Magnet at Moylan
apps,3,12.0,6,6.0,,,,HPS,Montessori Magnet at Moylan
apps,4,,,,,,,HPS,Montessori Magnet at Moylan
apps,5,,,,,,,HPS,Montessori Magnet at Moylan
apps,6,,,,,,,HPS,Montessori Magnet at Moylan
apps,PK3,83.0,26,57.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,PK4,56.0,18,38.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,K,53.0,26,27.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,1,30.0,9,21.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,2,18.0,11,7.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,3,24.0,13,11.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,4,24.0,10,14.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,5,12.0,,,,,,HPS,Montessori Magnet at Annie Fisher
apps,6,27.0,10,17.0,,,,HPS,Montessori Magnet at Annie Fisher
apps,7,10.0,,,,,,HPS,Montessori Magnet at Annie Fisher
apps,8,7.0,,,,,,HPS,Montessori Magnet at Annie Fisher
apps,PK3,121.0,58,63.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,PK4,61.0,27,34.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,K,54.0,27,27.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,1,26.0,19,7.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,2,24.0,13,11.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,3,20.0,11,9.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,4,30.0,21,9.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,5,29.0,13,16.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,6,9.0,,,,,,HPS,Noah Webster MicroSociety Magnet
apps,7,14.0,6,8.0,,,,HPS,Noah Webster MicroSociety Magnet
apps,8,,,,,,,HPS,Noah Webster MicroSociety Magnet
apps,9,217.0,101,116.0,,,,HPS,Pathways Academy of Technology and Design
apps,10,31.0,13,18.0,,,,HPS,Pathways Academy of Technology and Design
apps,11,37.0,11,26.0,,,,HPS,Pathways Academy of Technology and Design
apps,12,13.0,6,7.0,,,,HPS,Pathways Academy of Technology and Design
apps,PK4,94.0,27,67.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,K,88.0,51,37.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,1,49.0,28,21.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,2,52.0,28,24.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,3,66.0,41,25.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,4,59.0,28,31.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,5,78.0,34,44.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,6,61.0,24,37.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,7,38.0,22,16.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,8,20.0,11,9.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,9,43.0,29,14.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,10,17.0,7,10.0,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,11,6.0,,,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
